name,description,type,source
Anna Asti,"Концерт  •  16+
Anna Asti",concert,afisha.yandex.ru
t.A.T.u.,"Концерт  •  16+
t.A.T.u.",concert,afisha.yandex.ru
Братство Атома,"Концерт  •  12+
Братство Атома",concert,afisha.yandex.ru
Леонид Агутин,"Концерт  •  6+
Леонид Агутин",concert,afisha.yandex.ru
Ингви Мальмстин,"Концерт  •  18+
Ингви Мальмстин",concert,afisha.yandex.ru
Премия МУЗ-ТВ. Движение,"Концерт  •  16+
Премия МУЗ-ТВ. Движение",concert,afisha.yandex.ru
Anna Asti,"Концерт  •  16+
Anna Asti",concert,afisha.yandex.ru
t.A.T.u.,"Концерт  •  16+
t.A.T.u.",concert,afisha.yandex.ru
Братство Атома,"Концерт  •  12+
Братство Атома",concert,afisha.yandex.ru
Леонид Агутин,"Концерт  •  6+
Леонид Агутин",concert,afisha.yandex.ru
Ингви Мальмстин,"Концерт  •  18+
Ингви Мальмстин",concert,afisha.yandex.ru
Премия МУЗ-ТВ. Движение,"Концерт  •  16+
Премия МУЗ-ТВ. Движение",concert,afisha.yandex.ru
Anna Asti,"Концерт  •  16+
Anna Asti",concert,afisha.yandex.ru
t.A.T.u.,"Концерт  •  16+
t.A.T.u.",concert,afisha.yandex.ru
Братство Атома,"Концерт  •  12+
Братство Атома",concert,afisha.yandex.ru
Леонид Агутин,"Концерт  •  6+
Леонид Агутин",concert,afisha.yandex.ru
Ингви Мальмстин,"Концерт  •  18+
Ингви Мальмстин",concert,afisha.yandex.ru
Премия МУЗ-ТВ. Движение,"Концерт  •  16+
Премия МУЗ-ТВ. Движение",concert,afisha.yandex.ru
В тишине,"Спектакль  •  12+
В тишине",theatre,afisha.yandex.ru
Юлия Рутберг.,"Концерт  •  12+
Юлия Рутберг.",theatre,afisha.yandex.ru
В тишине,"Спектакль  •  12+
В тишине",theatre,afisha.yandex.ru
Юлия Рутберг.,"Концерт  •  12+
Юлия Рутберг.",theatre,afisha.yandex.ru
В тишине,"Спектакль  •  12+
В тишине",theatre,afisha.yandex.ru
Юлия Рутберг.,"Концерт  •  12+
Юлия Рутберг.",theatre,afisha.yandex.ru
Новый выставочный сезон,"Выставка  •  16+
Новый выставочный сезон",art,afisha.yandex.ru
Futurione,"Выставка  •  0+
Futurione",art,afisha.yandex.ru
Sense. Геометрия Чувств,"Выставка  •  0+
Sense. Геометрия Чувств",art,afisha.yandex.ru
Экспозиция музея советских игровых автоматов,"Выставка  •  0+
Экспозиция музея советских игровых автоматов",art,afisha.yandex.ru
Выставки,"Выставка  •  0+
Выставки",art,afisha.yandex.ru
Новый выставочный сезон,"Выставка  •  16+
Новый выставочный сезон",art,afisha.yandex.ru
Futurione,"Выставка  •  0+
Futurione",art,afisha.yandex.ru
Sense. Геометрия Чувств,"Выставка  •  0+
Sense. Геометрия Чувств",art,afisha.yandex.ru
Экспозиция музея советских игровых автоматов,"Выставка  •  0+
Экспозиция музея советских игровых автоматов",art,afisha.yandex.ru
Выставки,"Выставка  •  0+
Выставки",art,afisha.yandex.ru
Новый выставочный сезон,"Выставка  •  16+
Новый выставочный сезон",art,afisha.yandex.ru
Futurione,"Выставка  •  0+
Futurione",art,afisha.yandex.ru
Sense. Геометрия Чувств,"Выставка  •  0+
Sense. Геометрия Чувств",art,afisha.yandex.ru
Экспозиция музея советских игровых автоматов,"Выставка  •  0+
Экспозиция музея советских игровых автоматов",art,afisha.yandex.ru
Выставки,"Выставка  •  0+
Выставки",art,afisha.yandex.ru
Большая спортивная арена «Лужники»,"Экскурсия  •  0+
Большая спортивная арена «Лужники»",excursion,afisha.yandex.ru
Стендап-экскурсии по Москве,"Экскурсия  •  18+
Стендап-экскурсии по Москве",excursion,afisha.yandex.ru
Шоколадный мастер-класс,"Экскурсия  •  6+
Шоколадный мастер-класс",excursion,afisha.yandex.ru
Большая спортивная арена «Лужники»,"Экскурсия  •  0+
Большая спортивная арена «Лужники»",excursion,afisha.yandex.ru
Стендап-экскурсии по Москве,"Экскурсия  •  18+
Стендап-экскурсии по Москве",excursion,afisha.yandex.ru
Шоколадный мастер-класс,"Экскурсия  •  6+
Шоколадный мастер-класс",excursion,afisha.yandex.ru
Большая спортивная арена «Лужники»,"Экскурсия  •  0+
Большая спортивная арена «Лужники»",excursion,afisha.yandex.ru
Стендап-экскурсии по Москве,"Экскурсия  •  18+
Стендап-экскурсии по Москве",excursion,afisha.yandex.ru
Шоколадный мастер-класс,"Экскурсия  •  6+
Шоколадный мастер-класс",excursion,afisha.yandex.ru
